Line item #,Qty,"Designator","Value","MFN","MFP","D1","D1PN","D1PL","D2","D2PN","D2PL"
1,2,"P1;P2","CONN_02X02","_","_","digikey","_","_","mouser","_","_"
2,1,"U1","xc7a100tcsg324pkg","Xilinx","XC7A100T-2CSG324I","digikey","122-1881","http://www.digikey.com/product-detail/en/XC7A100T-2CSG324I/122-1881-ND/3925808","_","_","_"
3,1,"U3","TPS72718DSET","Texas Instruments","TPS72718DSET","digikey","296-25192","http://www.digikey.com/product-detail/en/texas-instruments/TPS72718DSET/296-25192-1-ND/2171357","mouser","_","_"
4,1,"U8","IC10pins","Littelfuse Inc","SP3010-04UTG","digikey","F3507","http://www.digikey.com/product-detail/en/SP3010-04UTG/F3507CT-ND/2297266","mouser","_","_"
5,1,"U6","MT41K128M16","Micron","MT41K128M16JT-125:K","arrow","MT41K128M16JT-125:K","https://www.arrow.com/en/products/mt41k128m16jt-125ktr/micron-technology","mouser","_","_"
6,4,"FB1;FB2;FB3;FB4","600","TDK","MPZ1608S601ATA00","digikey","445-2205","http://www.digikey.com/product-detail/en/MPZ1608S601ATA00/445-2205-1-ND/765103","mouser","_","_"
7,2,"U2;U7","LTM4622","Linear","LTM4622EV#PBF","digikey","LTM4622EV#PBF","http://www.digikey.com/product-detail/en/LTM4622EV%23PBF/LTM4622EV%23PBF-ND/5361650","element14","LTM4622EV#PBF","http://sg.element14.com/linear-technology/ltm4622ev-pbf/dc-dc-conv-buck-1mhz-lga-25/dp/2492751?ost=2492751&selectedCategoryId=&CMP=GRHB-OCTOPART"
8,1,"J1","USB_3.1_microB","Amphenol Commercial Products","GSB443133HR","digikey","GSB443133HR","http://www.digikey.com/product-detail/en/GSB443133HR/GSB443133HRCT-ND/4936161","mouser","_","_"
9,1,"R2","80.6","Panasonic","ERJ-1GEF80R6C","digikey","P80.6AB","http://www.digikey.com/product-detail/en/ERJ-1GEF80R6C/P80.6ABCT-ND/1467375","mouser","_","_"
10,1,"R15","6.04k","Panasonic","ERJ-1GEF6041C","digikey","P6.04KABTR","http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-1GEF6041C/P6.04KABTR-ND/1467094","mouser","_","_"
11,1,"R11","240","Panasonic","ERJ-1GEF2400C","digikey","P240AB","http://www.digikey.com/product-detail/en/ERJ-1GEF2400C/P240ABDKR-ND/575358","mouser","_","_"
12,2,"J3;R24;R25","R","DNP","DNP","digikey","DNP","DNP","mouser","_","_"
13,1,"U9","CYUSB3014","Cypress","CYUSB3014-BZXC","digikey","428-3182","http://www.digikey.com/product-detail/en/CYUSB3014-BZXC/428-3182-ND/3679585","mouser","727-CYUSB3014-BZXC","http://www.mouser.fr/ProductDetail/Cypress-Semiconductor/CYUSB3014-BZXC/?qs=xP2cAaN2A3Wt%252bQariFLwRg%3d%3d"
14,1,"R10","90.9k","Vishay","CRCW040290K9FKED","digikey","541-90.9KL","http://www.digikey.com/product-detail/en/CRCW040290K9FKED/541-90.9KLCT-ND/1183346","mouser","_","_"
15,1,"R13","60.4k","Vishay","CRCW040260K4FKED","digikey","541-60.4KL","http://www.digikey.com/product-detail/en/CRCW040260K4FKED/541-60.4KLCT-ND/1183326","mouser","_","_"
16,1,"R8","48.7k","Vishay","CRCW040248K7FKED","digikey","541-48.7KL","http://www.digikey.com/product-detail/en/CRCW040248K7FKED/541-48.7KLCT-ND/1183315","mouser","_","_"
