"Line item #","Qty","Designator","Value","MFN","MFP","D1","D1PN","D1PL","D2","D2PN","D2PL"
1,3,"C28;C57;C86","10u","AVX","TCJA106M016R0200","digikey","478-3451","http://www.digikey.com/product-detail/en/TCJA106M016R0200/478-3451-1-ND/998456","mouser","_","_"
2,1,"U2","SI53306","Silicon Labs","SI53306","digikey","336-2497","http://www.digikey.com/product-detail/en/silicon-labs/SI53306-B-GM/336-2497-5-ND/4158074","mouser","_","_"
3,3,"U5;U6;U7","NOIP1SE1300A-QDI","ON Semi","NOIP1SE1300A-QDI","arrow","NOIP1SN1300A-QDI","https://www.arrow.com/en/products/noip1se1300a-qdi/on-semiconductor?&utm_source=octopart&utm_medium=buynow&utm_campaign=octopart","_","_","_"
4,1,"U8","LTM4622","Linear","LTM4622EY#PBF","digikey","LTM4622EY#PBF","http://www.digikey.com/product-detail/en/LTM4622EY%2523PBF/LTM4622EY%2523PBF-ND/5965236?WT.z_cid=ref_octopart_dkc_buynow&site=us","mouser","_","_"
5,1,"U3","ST_LSM6DS3","STMicroelectronics","LSM6DS3TR","digikey","497-15383","http://www.digikey.com/product-detail/en/LSM6DS3TR/497-15383-1-ND/5180534","mouser","_","_"
6,12,"C1;C4;C17;C20;C32;C35;C46;C49;C61;C64;C75;C78","100u","AVX Corporation","F951A107MBAAQ2","digikey","478-8423","http://www.digikey.com/product-detail/en/avx-corporation/F951A107MBAAQ2/478-8423-1-ND/4005558","mouser","_","_"
7,1,"P1;P3;P4","CONN_01X04","DNP","DNP","digikey","DNP","DNP","mouser","_","_"
8,1,"P2","CONN_02X50","Hirose","DF40HC(3.0)-100DS-0.4V(58)","digikey","H124602","http://www.digikey.com/product-detail/en/hirose-electric-co-ltd/DF40HC%283.0%29-100DS-0.4V%2858%29/H124602CT-ND/5155905","mouser","_","_"
9,3,"R2;R4;R6","47k","Vishay","CRCW040247K0FKED","digikey","541-47.0KL","http://www.digikey.com/product-detail/en/CRCW040247K0FKED/541-47.0KLCT-ND/1183313","mouser","_","_"
10,1,"R9","30.1k","Vishay","CRCW040230K1FKED","digikey","541-30.1KL","http://www.digikey.com/product-detail/en/CRCW040230K1FKED/541-30.1KLCT-ND/1183290","mouser","_","_"
11,1,"R8","13.3k","Vishay","CRCW040213K3FKED","digikey","541-13.3KL","http://www.digikey.com/product-detail/en/CRCW040213K3FKED/541-13.3KLCT-ND/1183250","mouser","_","_"
12,4,"R1;R3;R5;R11","100","Vishay","CRCW0402100RFKED","digikey","541-100L","http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009","mouser","_","_"
13,2,"C93;C94","47u","TDK","C2012X5R1A476M125AC","digikey","445-8239","http://www.digikey.com/product-detail/en/C2012X5R1A476M125AC/445-8239-1-ND/2812081","mouser","_","_"
14,1,"C91","10u","TDK","C1608X5R1A106M080AC","digikey","445-6853","http://www.digikey.com/product-detail/en/tdk-corporation/C1608X5R1A106M080AC/445-6853-1-ND/2619215","arrow","_","https://www.arrow.com/en/products/c0603x5r0j105m030bc/tdk?&utm_source=octopart&utm_medium=buynow&utm_campaign=octopart"
15,2,"C90;C92","10n","TDK","C1005X7R1C103K050BA","digikey","445-1262","http://www.digikey.com/product-detail/en/C1005X7R1C103K050BA/445-1262-1-ND/567728","mouser","_","_"
16,33,"C2;C5;C7;C10;C15;C19;C21;C22;C25;C27;C30;C33;C36;C38;C41;C45;C48;C51;C53;C54;C56;C59;C62;C65;C67;C70;C74;C77;C79;C80;C83;C85;C88","4.7u","TDK","C1005X5R0J475K050BC","digikey","445-5947","http://www.digikey.com/product-detail/en/C1005X5R0J475K050BC/445-5947-1-ND/2443987","avnet","810-C1005X5R0J475K","http://www.mouser.fr/ProductDetail/TDK/C1005X5R0J475K050BC/?qs=NRhsANhppD%2frOmlfBttPRA%3d%3d"
17,26,"C9;C13;C14;C18;C23;C26;C29;C31;C40;C43;C44;C47;C52;C55;C58;C60;C69;C72;C73;C76;C81;C84;C87;C89;C95;C96","1u","TDK","C1005X5R0J105K050BB","digikey","445-4998","http://www.digikey.com/product-detail/en/C1005X5R0J105K050BB/445-4998-1-ND/2093613","mouser","_","_"
18,15,"C3;C6;C8;C11;C12;C16;C24;C34;C37;C39;C42;C50;C63;C66;C68","100n","TDK","C1005X5R0J104K050BA","digikey","445-1266","http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731","mouser","_","_"
19,2,"U1;U4","74AVCH8T245-1EP","NXP","74AVCH8T245BQ","digikey","568-5418","http://www.digikey.com/product-detail/en/74AVCH8T245BQ%2C118/568-5418-1-ND/2530896?WT.z_cid=ref_octopart_dkc_buynow&site=us","mouser","_","_"
