# Bill of Materials for 'ovc2_mobo' rev.B
# Schematic date: Mon 15 Oct 2018 12:31:14 PM +08
Line Item,Quantity,Designator,Value,Tolerance,Thermal,Voltage,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number,Substitution OK?
1,1,"C1",80m,20%,,,Seiko,XH414HG-IV01E,digikey,728-1050,no
2,36,"C2,C3,C4,C5,C6,C7,C8,C11,C12,C13,C18,C19,C20,C21,C25,C26,C27,C28,C29,C30,C31,C32,C34,C36,C37,C40,C42,C48,C51,C56,C57,C58,C59,C105,C106,C107",100n,20%,X5R,25 V,TDK,C1005X5R1E104K050BC,Element14,2525021,yes
3,12,"C9,C24,C49,C91,C92,C93,C96,C97,C98,C99,C103,C104",10u,20%,X5R,25 V,Murata,ZRB18AR61E106ME01L,Element14,2469398,yes
4,2,"C10,C50",68u,20%,JB,10 V,TDK,C3216JB1A686M160AC,digikey,445-11687,yes
5,2,"C14,C16",33u,20%,JB,25 V,TDK,CL31X226KAHN3NE,digikey,445-11710,yes
6,8,"C15,C17,C41,C44,C47,C52,C55,C162",22u,20%,X5R,25 V,TDK,C2012X5R1E226M125AC,Element14,2525137,yes
7,5,"C22,C33,C35,C43,C102",1u,10%,X5R,25 V,TDK,C1005X5R1E105K050BC,digikey,445-9066,yes
8,1,"C23",100p,10%,X7R,1000 V,KEMET,C0805X101KDRACTU,digikey,399-5825,yes
9,2,"C38,C45",470p,10%,C0G,50 V,TDK,CGA2B2C0G1H471J050BA,digikey,445-5604,yes
10,2,"C39,C46",22p,10%,C0G,50 V,Kemet,C0402C220K5GACTU,Element14,2581028,yes
11,1,"C53",1u,10%,X7S,100 V,TDK,C2012X7S2A105K125AB,digikey,445-5205,yes
12,1,"C54",47n,10%,X7R,25 V,TDK,C1005X7R1E473K050BC,Element14,1907263,yes
13,1,"C78",10n,10%,X7S,100 V,TDK,C1005X7S2A103K050BB,Element14,2525065,yes
14,1,"C94",100u,20%,,25 V,Nichicon,UCL1E101MCL1GS,digikey,493-3937,yes
15,1,"C101",2u2,10%,X5R,25 V,Taiyo Yuden,TMK107ABJ225KA-T,digikey,587-2909,yes
16,6,"D1,D2,D3,D4,D5,D6",TPD2EUSB30A,,,,TI,TPD2EUSB30ADRTR,digikey,296-28153,yes
17,2,"D7,D8",LED_Small,,,,ON Semi,ESD9X5.0ST5G,digikey,ESD9X5.0ST5GOS,yes
18,1,"D10",BAT54ALT1G,,,,ON Semi,BAT54ALT1G,digikey,BAT54ALT1GOS,yes
19,1,"D11",BAT54CW-7-F,,,,Diodes Inc,BAT54CW-7-F,digikey,BAT54CW-FDI,yes
20,2,"FB1,FB12",220,,,,Murata,BLM18KG221SN1D,digikey,490-5255,yes
21,8,"FB3,FB4,FB5,FB6,FB7,FB8,FB9,FB10",600,1%,,,Panasonic,BLM15AG601SN1D,digikey,490-1006,yes
22,3,"FB19,FB20,FB21",30,,,,TDK,MPZ1608S300ATAH0,digikey,445-1562,yes
23,1,"J1",SPI/I2C,,,,Amp FCI,68021-210HLF,digikey,609-3410,yes
24,1,"J2",SAMTEC QRF8-RA,,,,Samtec,QRF8-026-01-L-RA-GP,digikey,SAM9773,no
25,1,"J3",USB_OTG,,,,Amp FCI,10103594-0001LF,digikey,609-4050,yes
26,1,"J4",POWER,,,,Molex,105313-1302,digikey,WM15141,no
27,1,"J5",GPIO,,,,Amp FCI,68021-220HLF,digikey,609-3347,yes
28,1,"J6",HDMI_TYPE_A,,,,Amp FCI,10029449-111RLF,digikey,609-4614,no
29,1,"J7",USB,,,,Molex,48406-0003,digikey,WM10420,no
30,1,"J8",FAN,,,,Molex,53047-0410,digikey,WM1733,yes
31,1,"J11",Micro_SD_Card_Det_Hirose_DM3AT,,,,Hirose,DM3AT-SF-PEJM5,digikey,HR1964,yes
32,2,"Q1,Q2",Q_NMOS_GSD,,,,Diodes Inc,DMN2041L-7,digikey,DMN2041L-7DI,yes
33,3,"Q3,Q10,Q11",NTR4003NT1G,,,,ON Semi,NTR4003NT1G,digikey,NTR4003NT1GOS,yes
34,3,"Q4,Q7,Q8",NTS4001NT1G,,,,ON Semi,NTS4001NT1G,digikey,NTS4001NT1GOS,yes
35,1,"Q6",MMBT4403,,,,ON Semi,KST4403MTF,digikey,KST4403MTF,yes
36,15,"R1,R9,R10,R11,R27,R28,R29,R30,R31,R32,R33,R41,R46,R47,R48",10k,1%,,,Panasonic,ERJ-2RKF1002X,digikey,P10.0KL,yes
37,2,"R2,R4",51k,1%,,,Panasonic,ERJ-2RKF5102X,digikey,P51.0KL,yes
38,1,"R3",11k3,1%,,,Panasonic,ERJ-2RKF1132X,digikey,P11.3KL,yes
39,1,"R5",6k98,1%,,,Panasonic,ERJ-2RKF6981X,digikey,P6.98KL,yes
40,2,"R6,R56",47,,,,Panasonic,ERJ-3EKF47R0V,digikey,P47.0H,yes
41,2,"R7,R8",681,1%,,,Panasonic,ERJ-2RKF6810X,digikey,P681L,yes
42,8,"R12,R13,R14,R15,R16,R17,R18,R19",499,1%,,,Panasonic,ERJ-2RKF4990X,digikey,P499L,yes
43,1,"R20",0,1%,,,Panasonic,ERJ-2GE0R00X,digikey,P0.0J,yes
44,5,"R21,R22,R23,R24,R25",10,1%,,,Panasonic,ERJ-2RKF10R0X,digikey,P10.0L,yes
45,3,"R26,R38,R51",47k,1%,,,Panasonic,ERJ-2RKF4702X,digikey,P47.0KL,yes
46,2,"R34,R35",4R99,1%,,,Vishay,CRCW08054R99FKEAHP,digikey,541-4.99T,yes
47,1,"R36",487k,1%,,100 V,Panasonic,ERJ-6ENF4873V,digikey,P487KC,yes
48,1,"R37",18k9,1%,,,Panasonic,ERJ-2RKF1872X,digikey,P18.7KL,yes
49,1,"R39",402k,1%,,,Panasonic,ERJ-2RKF4023X,digikey,P402KL,yes
50,1,"R40",5k6,1%,,,Panasonic,ERJ-2RKF5601X,digikey,P5.60KL,yes
51,1,"R42",100,1%,,,Panasonic,ERJ-2RKF1000X,digikey,P100L,yes
52,4,"R43,R49,R52,R53",100k,1%,,,Panasonic,ERJ-2RKF1003X,digikey,P100KL,yes
53,1,"R44",330,1%,,,Panasonic,ERJ-2RKF3300X,digikey,P330L,yes
54,1,"R50",10M,1%,,,Panasonic,ERJ-2GEJ106X,digikey,P10MJ,yes
55,1,"R55",100,,,,Panasonic,ERJ-3EKF1000V,digikey,P100H,yes
56,2,"U1,U14",MPM3630,,,,Monolithic Power,MPM3630GQV-P,digikey,1589-1253,no
57,1,"U2",TPS26600PWP,,,,TI, TPS26600PWP,digikey,296-47292,no
58,1,"U3",Jetson,,,,Samtec,SEAM-50-03.5-S-08-2-A-K-TR,samtec,SEAM-50-03.5-S-08-2-A-K-TR,no
59,2,"U4,U5",SN74AVC8T245,,,,TI,SN74AVC8T245PWR,digikey,296-19100,no
60,1,"U6",TLV733P,,,,TI,TLV73318PDBVR,digikey,296-40669,yes
61,1,"U7",NCP380LSN10AAT1G,,,,ON Semi,NCP380LSN05AAT1G,digikey,NCP380LSN05AAT1GOS,yes
62,1,"U8",IP4786CZ32,,,,Nexperia,IP4786CZ32Y,digikey,1727-2149,no
63,1,"U9",TXS0108EPW,,,,TI, TXS0108EPWR ,digikey,296-23011,no
64,2,"U10,U11",TPS2069C,,,,TI,TPS2069CDBVT,digikey,296-35605,yes
65,2,"U12,U13",SP3002-04JTG,,,,Littelfuse,SP3002-04JTG,digikey,F2916,yes
66,1,"U18",ARJ11C-MBSAS-A-BA-7MU2,,,,Abracon,ARJ11C-MBSAS-A-BA-7MU2,digikey,ARJ11C-MBSAS-A-BA-7MU2,no
67,2,"SW1,SW3",SW_Push,,,,OMRON,B3U-3000P-B,Element14,1333656,yes
68,1,"SW2",SW_Push,,,,C&K,PTS645VH58-2LFS,digikey,CKN9120,yes
