Ref,Val,Package,PosX,PosY,Rot,Side
"C10","100n","C_0603_1608Metric",190.500000,-105.500000,0.000000,bottom
"C19","4u7","C_0603_1608Metric",114.000000,-101.300000,90.000000,bottom
"C22","10u","C_0402_1005Metric",89.550000,-81.300000,180.000000,bottom
"C23","10u","C_0402_1005Metric",84.300000,-84.600000,270.000000,bottom
"C24","10u","C_0402_1005Metric",89.850000,-88.675000,0.000000,bottom
"C25","10u","C_0402_1005Metric",91.175000,-86.325000,0.000000,bottom
"C26","100n","C_0402_1005Metric",90.250000,-83.600000,0.000000,bottom
"C27","100n","C_0402_1005Metric",89.550000,-82.300000,180.000000,bottom
"C28","100n","C_0402_1005Metric",85.300000,-84.600000,270.000000,bottom
"C29","100n","C_0402_1005Metric",89.850000,-87.675000,0.000000,bottom
"C30","100n","C_0402_1005Metric",88.825000,-85.000000,180.000000,bottom
"C31","100n","C_0402_1005Metric",86.900000,-85.675000,180.000000,bottom
"C32","10u","C_0402_1005Metric",211.300000,-81.200000,90.000000,bottom
"C33","10u","C_0402_1005Metric",203.500000,-84.900000,270.000000,bottom
"C34","10u","C_0402_1005Metric",209.800000,-88.600000,0.000000,bottom
"C35","10u","C_0402_1005Metric",210.700000,-85.000000,90.000000,bottom
"C36","100n","C_0402_1005Metric",211.700000,-83.200000,90.000000,bottom
"C37","100n","C_0402_1005Metric",210.200000,-81.800000,90.000000,bottom
"C38","100n","C_0402_1005Metric",204.500000,-84.900000,270.000000,bottom
"C39","100n","C_0402_1005Metric",210.000000,-87.000000,0.000000,bottom
"C40","100n","C_0402_1005Metric",208.900000,-84.100000,180.000000,bottom
"C41","100n","C_0402_1005Metric",205.900000,-84.500000,90.000000,bottom
"C42","10u","C_0402_1005Metric",178.400000,-75.200000,180.000000,bottom
"C43","10u","C_0402_1005Metric",173.300000,-76.800000,90.000000,bottom
"C44","100n","C_0402_1005Metric",177.400000,-79.900000,90.000000,bottom
"C45","10u","C_0402_1005Metric",180.200000,-80.300000,0.000000,bottom
"C46","10u","C_0402_1005Metric",177.900000,-78.300000,180.000000,bottom
"C47","100n","C_0402_1005Metric",178.400000,-76.200000,180.000000,bottom
"C48","100n","C_0402_1005Metric",174.300000,-78.400000,180.000000,bottom
"C49","100n","C_0402_1005Metric",177.100000,-81.400000,180.000000,bottom
"C50","100n","C_0402_1005Metric",179.600000,-79.300000,0.000000,bottom
"C51","100n","C_0402_1005Metric",173.700000,-80.300000,180.000000,bottom
"C52","1u","C_0402_1005Metric",109.000000,-109.600000,180.000000,bottom
"C54","100n","C_0402_1005Metric",86.275000,-82.325000,0.000000,bottom
"C55","100n","C_0402_1005Metric",205.900000,-82.200000,0.000000,bottom
"C56","100n","C_0402_1005Metric",174.300000,-76.800000,90.000000,bottom
"C57","100n","C_0402_1005Metric",85.900000,-87.125000,270.000000,bottom
"C58","100n","C_0402_1005Metric",205.100000,-87.000000,270.000000,bottom
"C59","100n","C_0402_1005Metric",173.700000,-81.300000,180.000000,bottom
"C60","100n","C_0402_1005Metric",175.800000,-76.200000,180.000000,bottom
"C61","100n","C_0402_1005Metric",88.000000,-83.725000,180.000000,bottom
"C62","100n","C_0402_1005Metric",208.500000,-81.800000,90.000000,bottom
"C63","100n","C_0402_1005Metric",87.925000,-86.900000,0.000000,bottom
"C64","100n","C_0402_1005Metric",176.500000,-75.200000,0.000000,bottom
"C65","100n","C_0402_1005Metric",208.400000,-85.600000,90.000000,bottom
"D4","ESDA25W","SOT-23",110.000000,-116.600000,270.000000,bottom
"D5","SMBJ22A","D_SMB",113.600000,-106.500000,270.000000,bottom
"D6","SDMK0340L-7-F","D_SOD-323",110.300000,-107.400000,90.000000,bottom
"J9","BONUS1","MOLEX_505110_2691",137.500000,-93.000000,90.000000,bottom
"J10","BONUS2","MOLEX_505110_2691",147.000000,-94.000000,270.000000,bottom
"J13","BONUS3","MOLEX_505110_2691",107.500000,-83.000000,0.000000,bottom
"J14","BONUS4","MOLEX_505110_2691",147.500000,-79.000000,0.000000,bottom
"R9","2k2","R_0402_1005Metric",94.000000,-85.500000,270.000000,bottom
"R16","2k2","R_0402_1005Metric",93.000000,-85.500000,270.000000,bottom
"R24","470","R_0402_1005Metric",108.800000,-106.700000,270.000000,bottom
"R25","1k","R_0402_1005Metric",103.500000,-114.700000,270.000000,bottom
"R26","10k","R_0402_1005Metric",100.500000,-112.500000,270.000000,bottom
"R27","1k","R_0402_1005Metric",138.500000,-117.500000,90.000000,bottom
"C1","1u","C_0402_1005Metric",107.800000,-117.800000,0.000000,top
"C2","1u","C_0402_1005Metric",104.800000,-117.800000,180.000000,top
"C3","1u","C_0402_1005Metric",107.500000,-101.000000,90.000000,top
"C4","100n","C_0402_1005Metric",107.000000,-106.500000,0.000000,top
"C5","100n","C_0402_1005Metric",121.500000,-107.000000,270.000000,top
"C6","100n","C_0402_1005Metric",114.500000,-107.000000,270.000000,top
"C7","100n","C_0402_1005Metric",122.500000,-107.000000,270.000000,top
"C8","100n","C_0402_1005Metric",115.500000,-107.000000,270.000000,top
"C9","3n3","C_0402_1005Metric",96.300000,-94.350000,180.000000,top
"C11","100n","C_0402_1005Metric",193.500000,-86.000000,90.000000,top
"C12","100n","C_0402_1005Metric",189.500000,-89.400000,270.000000,top
"C13","100n","C_0402_1005Metric",191.400000,-86.000000,180.000000,top
"C14","100n","C_0402_1005Metric",197.800000,-76.000000,180.000000,top
"C15","100n","C_0402_1005Metric",197.800000,-85.100000,180.000000,top
"C16","1u","C_0402_1005Metric",81.700000,-100.650000,0.000000,top
"C17","1u","C_0402_1005Metric",81.700000,-95.100000,0.000000,top
"C18","680u","CP_Elec_6.3x7.7",90.500000,-116.500000,180.000000,top
"C20","1u","C_0402_1005Metric",186.700000,-91.900000,0.000000,top
"C21","1u","C_0402_1005Metric",186.900000,-86.800000,0.000000,top
"C53","100n","C_0402_1005Metric",106.300000,-118.300000,270.000000,top
"C67","1u","C_0402_1005Metric",90.400000,-106.300000,270.000000,top
"C68","10u","C_0402_1005Metric",85.800000,-103.400000,180.000000,top
"C69","100n","C_0402_1005Metric",169.000000,-91.400000,270.000000,top
"C70","100n","C_0402_1005Metric",195.800000,-94.100000,0.000000,top
"C71","100n","C_0402_1005Metric",177.500000,-92.000000,270.000000,top
"C72","100n","C_0402_1005Metric",201.600000,-96.500000,270.000000,top
"C73","100n","C_0402_1005Metric",189.900000,-71.000000,0.000000,top
"C74","100n","C_0402_1005Metric",192.500000,-71.000000,180.000000,top
"C75","22u","C_0603_1608Metric",84.900000,-110.850000,0.000000,top
"C76","22u","C_0603_1608Metric",84.900000,-112.950000,0.000000,top
"C77","100u","C_1206_3216Metric",88.000000,-99.900000,90.000000,top
"C78","22u","C_1206_3216Metric",94.200000,-109.700000,270.000000,top
"C79","47u","C_1206_3216Metric",90.250000,-99.900000,90.000000,top
"C82","22u","C_1206_3216Metric",91.750000,-109.700000,270.000000,top
"C83","47u","C_1206_3216Metric",85.750000,-99.900000,90.000000,top
"C84","100n","C_0402_1005Metric",117.000000,-100.700000,180.000000,top
"C85","100n","C_0402_1005Metric",163.600000,-109.400000,270.000000,top
"D1","LED","LED_0402_1005Metric",166.500000,-71.500000,270.000000,top
"D2","LED","LED_0402_1005Metric",165.500000,-71.500000,270.000000,top
"D3","LED","LED_0402_1005Metric",108.500000,-80.000000,0.000000,top
"J3","USB_C_Receptacle","USB_C_Receptacle_Wurth_632723300011",117.000000,-114.500000,0.000000,top
"J7","Micro_SD_Card_Det_Hirose_DM3AT","microSD_HC_Hirose_DM3AT-SF-PEJM5",173.000000,-111.000000,0.000000,top
"Q1","SI2369DS","SOT-23",110.000000,-102.000000,0.000000,top
"Q2","SI2369DS","SOT-23",106.500000,-104.000000,180.000000,top
"R1","100k","R_0402_1005Metric",108.500000,-109.500000,90.000000,top
"R2","10k","R_0402_1005Metric",107.500000,-109.500000,270.000000,top
"R3","10k","R_0402_1005Metric",106.500000,-109.500000,270.000000,top
"R4","100k","R_0402_1005Metric",109.000000,-105.000000,270.000000,top
"R5","22k","R_0402_1005Metric",108.500000,-99.500000,180.000000,top
"R6","100k","R_0402_1005Metric",114.500000,-102.000000,270.000000,top
"R7","100R","R_0402_1005Metric",109.000000,-106.500000,0.000000,top
"R8","1k","R_0603_1608Metric",104.800000,-109.000000,270.000000,top
"R10","90k9","R_0402_1005Metric",102.100000,-94.350000,180.000000,top
"R11","316R","R_0402_1005Metric",99.300000,-94.350000,0.000000,top
"R12","10k","R_0402_1005Metric",201.000000,-106.000000,270.000000,top
"R13","10k","R_0402_1005Metric",203.500000,-106.000000,270.000000,top
"R14","330R","R_0402_1005Metric",166.500000,-73.500000,270.000000,top
"R15","330R","R_0402_1005Metric",165.500000,-73.500000,270.000000,top
