Ref,Val,Package,PosX,PosY,Rot,Side
"C6","10u","C_0402_1005Metric",43.400000,-86.400000,0.000000,bottom
"C7","10u","C_0402_1005Metric",42.800000,-92.100000,-90.000000,bottom
"C9","10u","C_0402_1005Metric",40.750000,-89.515002,-90.000000,bottom
"C10","10u","C_0402_1005Metric",45.350000,-86.400000,0.000000,bottom
"C11","100n","C_0402_1005Metric",43.400000,-87.360000,0.000000,bottom
"C12","100n","C_0402_1005Metric",47.400000,-91.350000,0.000000,bottom
"C13","100n","C_0402_1005Metric",41.700000,-89.515000,-90.000000,bottom
"C16","100n","C_0402_1005Metric",45.350000,-87.350000,0.000000,bottom
"C17","100n","C_0402_1005Metric",47.700000,-88.100000,-90.000000,bottom
"C18","100n","C_0402_1005Metric",45.150000,-89.650000,-90.000000,bottom
"C19","100n","C_0402_1005Metric",43.250000,-90.650000,180.000000,bottom
"C21","100n","C_0402_1005Metric",47.200000,-92.700000,0.000000,bottom
"C22","100n","C_0402_1005Metric",47.100000,-90.000000,0.000000,bottom
"C24","100n","C_0402_1005Metric",45.250000,-92.000000,0.000000,bottom
"C25","10u","C_0402_1005Metric",163.400000,-86.300000,0.000000,bottom
"C26","10u","C_0402_1005Metric",167.500000,-90.795000,0.000000,bottom
"C27","10u","C_0402_1005Metric",160.100000,-89.815000,-90.000000,bottom
"C28","100n","C_0402_1005Metric",163.400000,-87.300000,0.000000,bottom
"C29","100n","C_0402_1005Metric",167.500000,-89.845000,0.000000,bottom
"C30","100n","C_0402_1005Metric",161.100000,-89.815000,-90.000000,bottom
"C31","10u","C_0402_1005Metric",163.150000,-90.000000,180.000000,bottom
"C32","100n","C_0402_1005Metric",167.200000,-87.300000,180.000000,bottom
"C33","100n","C_0402_1005Metric",162.900000,-91.500000,-90.000000,bottom
"C34","100n","C_0402_1005Metric",167.300000,-92.700000,0.000000,bottom
"C35","100n","C_0402_1005Metric",165.300000,-86.300000,0.000000,bottom
"C36","100n","C_0402_1005Metric",165.300000,-89.400000,180.000000,bottom
"C37","100n","C_0402_1005Metric",165.300000,-87.300000,0.000000,bottom
"C38","100n","C_0402_1005Metric",165.400000,-90.950000,90.000000,bottom
"C43","100n","C_0402_1005Metric",125.100000,-82.695000,180.000000,bottom
"C45","1u","C_0402_1005Metric",125.100000,-83.695000,180.000000,bottom
"J1","FFC","MOLEX_505110_2691",95.000000,-90.000000,-90.000000,bottom
"C1","100n","C_0402_1005Metric",84.300000,-93.000000,180.000000,top
"C3","100n","C_0402_1005Metric",78.900000,-92.775000,180.000000,top
"C5","1u","C_0402_1005Metric",59.900000,-85.100000,90.000000,top
"C8","1u","C_0402_1005Metric",55.100000,-86.000000,-90.000000,top
"C14","100n","C_0402_1005Metric",102.700000,-84.000000,0.000000,top
"C15","100n","C_0402_1005Metric",107.500000,-84.000000,180.000000,top
"C20","1u","C_0402_1005Metric",148.865000,-83.900000,-90.000000,top
"C23","1u","C_0402_1005Metric",153.750000,-83.900000,-90.000000,top
"C39","100n","C_0402_1005Metric",89.200000,-85.800000,0.000000,top
"C40","100n","C_0402_1005Metric",91.400000,-86.600000,90.000000,top
"C41","10u","C_0402_1005Metric",92.400000,-86.600000,90.000000,top
"C42","100n","C_0402_1005Metric",115.000000,-88.100000,0.000000,top
"C44","100n","C_0402_1005Metric",118.400000,-88.100000,180.000000,top
"R1","2k2","R_0402_1005Metric",85.700000,-89.600000,-90.000000,top
"R3","2k2","R_0402_1005Metric",85.700000,-91.500000,90.000000,top
"R9","DNP","R_0402_1005Metric",111.750000,-90.850000,0.000000,top
"R10","DNP","R_0402_1005Metric",112.250000,-89.450000,-90.000000,top
"U1","AR0144CS","BGA-72_9x8_5.545x5.565mm",45.000000,-90.000000,180.000000,top
"U2","AR0144CS","BGA-72_9x8_5.545x5.565mm",165.000000,-90.000000,180.000000,top
"U3","TCA9803","VSSOP-8_3.0x3.0mm_P0.65mm",81.600000,-90.500000,180.000000,top
"U5","SN74AUP1T34DCK","SOT-353_SC-70-5",89.200000,-87.800000,0.000000,top
"U6","LP5907MFX-2.8","SOT-23-5",57.500000,-84.500000,180.000000,top
"U7","LP5907MFX-2.8","SOT-23-5",151.300000,-84.350000,0.000000,top
"U8","SN74AXC4T245PWR","TSSOP-16_4.4x5mm_P0.65mm",105.100000,-87.500000,0.000000,top
"U10","TCA9803","VSSOP-8_3.0x3.0mm_P0.65mm",116.740000,-90.480000,0.000000,top
