Signal name,Length on GhostRider,Length on sensor board,Total trace length(mm)
Python3_clk_return+,9.729,154.318,164.047
Python3_clk_return-,9.738,154.318,164.056
Python3_DOUT1+,12.244,155.804,168.048
Python3_DOUT1-,12.249,155.804,168.053
Python3_DOUT0+,9.292,163.617,172.909
Python3_DOUT0-,9.292,163.617,172.909
Python3_DOUT3-,6.78,147.153,153.933
Python3_DOUT3+,6.744,147.153,153.897
Python3_SYNC-,7.752,144.342,152.094
Python3_SYNC+,7.752,144.342,152.094
Python3_DOUT2+,5.71,149.319,155.029
Python3_DOUT2-,5.71,149.319,155.029
Python2_clk_return-,10.571,73.762,84.333
Python2_clk_return+,10.644,73.762,84.406
Python2_SYNC-,12.318,82.098,94.416
Python2_SYNC+,12.333,82.098,94.431
Python2_DOUT2+,12.39,81.039,93.429
Python2_DOUT2-,12.41,81.039,93.449
Python2_DOUT0-,14.856,82.017,96.873
Python2_DOUT0+,14.785,82.017,96.802
Python2_DOUT1-,10.105,80.674,90.779
Python2_DOUT1+,10.105,80.674,90.779
Python2_DOUT3-,8.712,75.303,84.015
Python2_DOUT3+,8.668,75.303,83.971
Python1_clk_return-,8.155,58.684,66.839
Python1_clk_return+,8.155,58.684,66.839
Python1_DOUT3+,8.966,147.153,156.119
Python1_DOUT3-,8.966,147.153,156.119
Python1_DOUT2+,5.73,149.319,155.049
Python1_DOUT2-,5.814,149.319,155.133
Python1_DOUT1+,7.827,155.804,163.631
Python1_DOUT1-,7.827,155.804,163.631
Python1_DOUT0+,5.872,163.617,169.489
Python1_DOUT0-,5.935,163.617,169.552
Python1_SYNC+,10.594,144.342,154.936
Python1_SYNC-,10.591,144.342,154.933
Python_lvds_clk-,13.427,41.423,54.85
Python_lvds_clk+,13.427,41.423,54.85
