Line item #,Qty,Designator,Value,MFN,MFP,D1,D1PN,D1PL,D2,D2PN,D2PL
1,1,U14,uIMU-2,InertialSense,uIMU-2,DNP,DNP,DNP,DNP,DNP,DNP
2,2,C111;C112,100n,TDK,_CGJ3E2X7R1C104K080AA,digikey,445-8136,http://www.digikey.com/product-detail/en/tdk-corporation/CGJ3E2X7R1C104K080AA/445-8136-1-ND/2812154,mouser,_,_
3,3,C28;C57;C86,10u,AVX,TCJA106M016R0200,digikey,478-3451,http://www.digikey.com/product-detail/en/TCJA106M016R0200/478-3451-1-ND/998456,mouser,_,_
4,1,U9,SN74AVC2T244,Texas Instruments,SN74AVC2T244DQER,digikey,296-29673,http://www.digikey.com/product-detail/en/texas-instruments/SN74AVC2T244DQER/296-29673-1-ND/2762176,mouser,_,_
5,1,U2,SI53306,Silicon Labs,SI53306,digikey,336-2497,http://www.digikey.com/product-detail/en/silicon-labs/SI53306-B-GM/336-2497-5-ND/4158074,mouser,_,_
6,3,U5;U6;U7,NOIP1SN1300A-QDI,ON Semi,NOIP1SN1300A-QDI,Customer Supplied,Customer Supplied,Customer Supplied,Customer Supplied,_,_
7,1,U4,mic5325,Microchip,MIC5325-1.8YMT-TR,digikey,576-3087,http://www.digikey.com/product-detail/en/microchip-technology/MIC5325-1.8YMT-TR/576-3087-1-ND/1867811,mouser,_,_
8,1,U8,LTM4622,Linear,LTM4622EV#PBF,digikey,LTM4622EV#PBF,http://www.digikey.com/product-detail/en/LTM4622EV%23PBF/LTM4622EV%23PBF-ND/5361650,element14,LTM4622EV#PBF,http://sg.element14.com/linear-technology/ltm4622ev-pbf/dc-dc-conv-buck-1mhz-lga-25/dp/2492751?CMP=GRHB-OCTOPART
9,1,U3,LD39150PU,STMicroelectronics,LD39150PU-R,digikey,497-11464,http://www.digikey.com/product-detail/en/stmicroelectronics/LD39150PU-R/497-11464-1-ND/2711762,mouser,_,_
10,3,FB2;FB5;FB8,1k,Taiyo Yuden,FBMH1608HM102-TV,digikey,587-3820,http://www.digikey.com/product-detail/en/taiyo-yuden/FBMH1608HM102-TV/587-3820-1-ND/4875580,mouser,_,_
11,6,FB1;FB3;FB4;FB6;FB7;FB9,220,Taiyo Yuden,FBMH1608HL221-TV,digikey,587-3813,http://www.digikey.com/product-detail/en/taiyo-yuden/FBMH1608HL221-TV/587-3813-1-ND/4875573,mouser,_,_
12,12,C1;C4;C17;C20;C32;C35;C46;C49;C61;C64;C75;C78,100u,AVX Corporation,F951A107MBAAQ2,digikey,478-8423,http://www.digikey.com/product-detail/en/avx-corporation/F951A107MBAAQ2/478-8423-1-ND/4005558,mouser,_,_
13,5,P1;P3;P4;P5;P6;P7,CONN_01X11,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
14,1,P2,CONN_02X50,Hirose,DF40HC(3.0)-100DS-0.4V(58),digikey,H124602,http://www.digikey.com/product-detail/en/hirose-electric-co-ltd/DF40HC%283.0%29-100DS-0.4V%2858%29/H124602CT-ND/5155905,mouser,_,_
15,1,R16,8.06k,Vishay,CRCW04028K06FKED,digikey,541-8.06KL,http://www.digikey.com/product-detail/en/vishay-dale/CRCW04028K06FKED/541-8.06KLCT-ND/1183226,mouser,_,_
16,1,R17,4.7k,Vishay,CRCW04024K70FKED,digikey,541-4.70KL,http://www.digikey.com/product-detail/en/vishay-dale/CRCW04024K70FKED/541-4.70KLCT-ND/1183199,mouser,_,_
17,9,R7;R10;R12;R13;R14;R15;R18;R19;R20,49.9,Vishay,CRCW040249R9FKED,digikey,541-49.9L,http://www.digikey.com/product-detail/en/vishay-dale/CRCW040249R9FKED/541-49.9LCT-ND/1182974,mouser,_,_
18,3,R2;R4;R6,47k,Vishay,CRCW040247K0FKED,digikey,541-47.0KL,http://www.digikey.com/product-detail/en/CRCW040247K0FKED/541-47.0KLCT-ND/1183313,mouser,_,_
19,1,R9,24k,Vishay,CRCW040224K0FKED,digikey,541-24.0KL,http://www.digikey.com/product-detail/en/vishay-dale/CRCW040224K0FKED/541-24.0KLCT-ND/1183278,mouser,_,_
20,1,R8,11.5k,Vishay,CRCW040211K5FKED,digikey,541-11.5KL,http://www.digikey.com/product-detail/en/vishay-dale/CRCW040211K5FKED/541-11.5KLCT-ND/1183243,mouser,_,_
21,4,R1;R3;R5;R11,100,Vishay,CRCW0402100RFKED,digikey,541-100L,http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009,mouser,_,_
22,2,C93;C94,47u,Murata Electronics,GRM21BR61A476ME15L,digikey,490-9961,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM21BR61A476ME15L/490-9961-1-ND/5026442,mouser,_,_
23,1,C91,10u,TDK,C1608X5R1A106M080AC,digikey,445-6853,http://www.digikey.com/product-detail/en/tdk-corporation/C1608X5R1A106M080AC/445-6853-1-ND/2619215,mouser,_,_
24,3,C90;C92;C134,10n,TDK,CGJ2B2X7R1E103K050BA,digikey,445-8078,http://www.digikey.com/product-detail/en/tdk-corporation/CGJ2B2X7R1E103K050BA/445-8078-1-ND/2812109,mouser,_,_
25,33,C2;C5;C7;C10;C15;C19;C21;C22;C25;C27;C30;C33;C36;C38;C41;C45;C48;C51;C53;C54;C56;C59;C62;C65;C67;C70;C74;C77;C79;C80;C83;C85;C88,4.7u,TDK,C1005X5R0J475K050BC,digikey,445-5947,http://www.digikey.com/product-detail/en/C1005X5R0J475K050BC/445-5947-1-ND/2443987,avnet,810-C1005X5R0J475K,http://www.mouser.fr/ProductDetail/TDK/C1005X5R0J475K050BC/?qs=NRhsANhppD%2frOmlfBttPRA%3d%3d
26,1,C136,2.2u,TDK,C1005X5R0J225M050BC,digikey,445-4999,http://www.digikey.com/product-detail/en/tdk-corporation/C1005X5R0J225M050BC/445-4999-1-ND/2093614,mouser,_,_
27,30,C9;C13;C14;C18;C23;C26;C29;C31;C40;C43;C44;C47;C52;C55;C58;C60;C69;C72;C73;C76;C81;C84;C87;C89;C95;C96;C131;C132;C133;C135,1u,TDK,C1005X5R1V105K050BC,digikey,445-9073,http://www.digikey.com/product-detail/en/tdk-corporation/C1005X5R1V105K050BC/445-9073-1-ND/3648734,mouser,_,_
28,13,C3;C6;C8;C11;C24;C34;C37;C39;C42;C50;C63;C66;C68,100n,TDK,C1005X5R0J104K050BA,digikey,445-1266,http://www.digikey.com/product-detail/en/C1005X5R0J104K050BA/445-1266-1-ND/567731,mouser,_,_
29,1,U1,74AVCH8T245-1EP,NXP,74AVCH8T245BQ,digikey,568-5418,http://www.digikey.com/product-detail/en/74AVCH8T245BQ%2C118/568-5418-1-ND/2530896?WT.z_cid=ref_octopart_dkc_buynow&site=us,mouser,_,_
