Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",3.383268,-1.179823,90.000000,top
"C2","1u","C_0402_1005Metric",3.785236,-1.338287,180.000000,top
"C3","1u","C_0402_1005Metric",3.784449,-1.272539,180.000000,top
"C4","4u7","C_0603_1608Metric",3.634252,-1.277264,90.000000,top
"C5","18p","C_0402_1005Metric",1.444882,-1.970472,0.000000,top
"C6","18p","C_0402_1005Metric",1.480315,-2.255906,0.000000,top
"C7","1u","C_0402_1005Metric",3.796457,-1.406988,-90.000000,top
"C8","10u","C_0402_1005Metric",1.868504,-1.998720,180.000000,top
"C9","100n","C_0402_1005Metric",1.683465,-1.932382,-90.000000,top
"C10","100n","C_0402_1005Metric",3.778346,-1.534153,0.000000,top
"C11","100n","C_0402_1005Metric",1.561417,-2.038090,-90.000000,top
"C12","100n","C_0402_1005Metric",1.561417,-2.223130,90.000000,top
"C13","100n","C_0402_1005Metric",1.771654,-2.266437,180.000000,top
"C14","1u","C_0402_1005Metric",1.771654,-2.305807,180.000000,top
"C15","100n","C_0402_1005Metric",3.297638,-3.419980,0.000000,top
"C16","100n","C_0402_1005Metric",2.941339,-1.670964,90.000000,top
"C17","100n","C_0402_1005Metric",3.214961,-1.660138,90.000000,top
"C18","100n","C_0402_1005Metric",2.901969,-1.670768,90.000000,top
"C19","100n","C_0402_1005Metric",3.175591,-1.660138,90.000000,top
"C20","100n","C_0402_1005Metric",1.417323,-2.484252,-90.000000,top
"C21","100n","C_0402_1005Metric",3.096850,-1.880610,0.000000,top
"C22","1u","C_0402_1005Metric",1.694882,-2.267717,180.000000,top
"C23","100u","C_1206_3216Metric",2.055118,-1.968504,0.000000,top
"C24","100u","C_1206_3216Metric",2.057480,-2.480315,0.000000,top
"C25","10u","C_1206_3216Metric",4.212598,-1.389764,0.000000,top
"C26","1u","C_0402_1005Metric",2.053543,-3.041634,90.000000,top
"C27","10u","C_1206_3216Metric",4.397638,-1.389764,180.000000,top
"C28","100n","C_0402_1005Metric",3.903937,-1.566437,180.000000,top
"C29","1u","C_0402_1005Metric",2.320866,-2.895669,0.000000,top
"C30","10u","C_0805_2012Metric",2.210630,-3.127953,-90.000000,top
"C31","47u","C_1206_3216Metric",2.498031,-3.100394,90.000000,top
"C32","100n","C_0402_1005Metric",3.644095,-1.716535,-90.000000,top
"C33","100n","C_0402_1005Metric",1.417323,-2.585335,90.000000,top
"C34","100n","C_0402_1005Metric",1.405512,-2.352362,90.000000,top
"C35","100u","C_1206_3216Metric",1.352756,-2.636516,90.000000,top
"C36","100u","C_1206_3216Metric",1.515748,-2.330709,180.000000,top
"C37","100n","C_0402_1005Metric",3.548819,-1.606004,180.000000,top
"C38","100n","C_0402_1005Metric",4.006890,-3.741634,90.000000,top
"C39","100n","C_0402_1005Metric",3.533858,-2.966535,-90.000000,top
"C40","18p","C_0402_1005Metric",3.451181,-3.893898,180.000000,top
"C41","18p","C_0402_1005Metric",3.557480,-3.893898,0.000000,top
"C42","100n","C_0402_1005Metric",3.330709,-3.720472,90.000000,top
"C43","10u","C_0603_1608Metric",4.057087,-3.763780,-90.000000,top
"C44","100n","C_0402_1005Metric",3.687008,-3.727067,0.000000,top
"C45","47p","C_0402_1005Metric",3.967520,-3.741634,90.000000,top
"C46","100n","C_0402_1005Metric",3.297638,-3.380610,0.000000,top
"C47","100n","C_0402_1005Metric",3.330118,-3.624016,90.000000,top
"C48","100n","C_0402_1005Metric",3.795276,-3.744094,90.000000,top
"C49","100n","C_0402_1005Metric",4.088583,-3.350394,180.000000,top
"C50","100n","C_0402_1005Metric",4.094488,-3.248031,180.000000,top
"C51","100n","C_0402_1005Metric",4.061417,-3.101083,-90.000000,top
"C52","100n","C_0402_1005Metric",3.744094,-2.996063,0.000000,top
"C53","100n","C_0402_1005Metric",3.573228,-2.966535,-90.000000,top
"C54","100n","C_0402_1005Metric",3.454134,-2.994783,180.000000,top
"C55","47u","C_1206_3216Metric",4.401575,-1.716535,180.000000,top
"C56","100n","C_0402_1005Metric",3.297638,-3.459350,0.000000,top
"C57","10u","C_0603_1608Metric",3.879921,-3.812992,0.000000,top
"C58","100n","C_0402_1005Metric",3.757874,-3.744094,90.000000,top
"C59","100n","C_0402_1005Metric",2.125984,-1.413386,90.000000,top
"C60","100n","C_0402_1005Metric",4.476280,-3.304823,90.000000,top
"C61","100n","C_0402_1005Metric",4.339075,-3.334350,0.000000,top
"C62","2u2","C_0402_1005Metric",4.515650,-3.304823,90.000000,top
"C63","470u","CP_Elec_6.3x7.7",1.657480,-2.771654,180.000000,top
"C64","47u","C_1206_3216Metric",4.216535,-1.716535,0.000000,top
"C65","100n","C_0402_1005Metric",2.830709,-1.889764,-90.000000,top
"C66","1u","C_0402_1005Metric",2.663386,-3.125984,0.000000,top
"C67","10u","C_0805_2012Metric",2.596457,-3.363681,-90.000000,top
"C68","47u","C_1206_3216Metric",2.879921,-3.338583,90.000000,top
"C69","100n","C_0402_1005Metric",2.139764,-3.395669,180.000000,top
"C70","100n","C_0402_1005Metric",2.872047,-3.521654,90.000000,top
"C71","100n","C_0402_1005Metric",3.039370,-3.519685,90.000000,top
"C72","100n","C_0402_1005Metric",2.283465,-3.364173,180.000000,top
"C73","100n","C_0402_1005Metric",2.281496,-3.557087,180.000000,top
"D1","SDMK0340L-7-F","D_SOD-323",3.383268,-1.282185,-90.000000,top
"D2","ESDA25W","SOT-23",3.910630,-1.480315,-90.000000,top
"D3","SMBJ22A","D_SMB",3.513189,-1.286122,90.000000,top
"D6","D","D_0402_1005Metric",1.952756,-3.307087,0.000000,top
"D7","PMEG3030EP,115","D_SOD-128",4.641732,-1.783465,0.000000,top
"J2","USB_C_Receptacle","USB_C_Receptacle_Wurth_632723300011",3.116535,-1.368799,180.000000,top
"L3","4u7","L_0805_2012Metric",1.433071,-1.415354,0.000000,top
"L4","4u7","L_0805_2012Metric",1.433071,-1.492126,0.000000,top
"L5","4u7","L_0805_2012Metric",3.881890,-3.742126,180.000000,top
"Q1","SI2369DS","SOT-23",3.525984,-1.506594,180.000000,top
"Q2","SI2369DS","SOT-23",3.665354,-1.500000,-90.000000,top
"Q3","2N7002","SOT-23",3.549606,-1.734941,-90.000000,top
"Q4","2N7002","SOT-23",2.406693,-3.503150,90.000000,top
"R1","470R","R_0402_1005Metric",3.685039,-1.255906,90.000000,top
"R2","1k","R_0402_1005Metric",3.724409,-1.216535,90.000000,top
"R3","100k","R_0402_1005Metric",1.771654,-2.345177,0.000000,top
"R4","649R","R_0402_1005Metric",1.574803,-1.982283,180.000000,top
"R5","100k","R_0402_1005Metric",3.756693,-1.407382,-90.000000,top
"R6","22k","R_0402_1005Metric",3.952756,-1.165354,180.000000,top
"R7","100k","R_0402_1005Metric",4.001181,-1.438484,-90.000000,top
"R8","100k","R_0402_1005Metric",3.874016,-1.165354,0.000000,top
"R9","100R","R_0402_1005Metric",3.778543,-1.494783,180.000000,top
"R10","1k","R_0603_1608Metric",4.066929,-1.255906,-90.000000,top
"R11","10k","R_0402_1005Metric",1.769094,-2.400295,180.000000,top
"R12","10k","R_0402_1005Metric",1.769685,-2.442913,180.000000,top
"R13","100k","R_0402_1005Metric",3.291339,-3.720472,90.000000,top
"R14","10k","R_0402_1005Metric",3.188976,-3.684449,90.000000,top
"R15","100k","R_0402_1005Metric",1.712598,-2.326772,-90.000000,top
"R18","10k","R_0402_1005Metric",2.053543,-3.120374,90.000000,top
"R19","10k","R_0402_1005Metric",2.139764,-3.596457,0.000000,top
"R20","20k","R_0402_1005Metric",4.047244,-1.753937,180.000000,top
"R21","4k7","R_0402_1005Metric",3.972835,-1.754626,180.000000,top
"R22","10k","R_0402_1005Metric",4.448819,-1.629331,90.000000,top
"R23","2k4","R_0402_1005Metric",4.448819,-1.551181,90.000000,top
