Component,References,Value,Footprint,D1N,D1PN,MFN,MPN,Quantity Per PCB
1,C1 C8 C10 C18 C19 C25 C26 C27 C32 C33 C34 C35 C40 C41 C42 C43 C44 C49 C50 C51 C68 C70 C74 C75 C76 C77 C78 C79 C80 C81 C82 C83 C84 C85 C86 C87 C88 C89 C91 C92 C98 C101 C107 C116 C118 C119 C120,100n,C_0201_0603Metric,Digikey,1292-1161-1-ND,Walsin,0201X104K160CT,47
2,C4,10p,C_0402_1005Metric,Digikey,587-1947-1-ND,Taiyo Yuden,UMK105CG100DV-F,1
3,C93 C94,10u,C_1206_3216Metric,Digikey,1276-2876-1-ND,Samsung,CL31A106KBHNNNE,2
4,C69 C71,150u,C_Elec_6.3x7.7,Digikey,PCE4401CT-ND,TDK,EEE-FKC151XAP,2
5,C22 C24 C28 C29 C30 C31 C36 C37 C38 C39 C45 C46 C47 C48 C52 C53 C54,1n,C_0201_0603Metric,Digikey,490-16360-1-ND,Murata Electronics,GRM033R71E102JA01D,17
6,C2 C9 C90 C121,1u,C_0402_1005Metric,Digikey,1276-1076-1-ND,Samsung,CL05A105KP5NNNC,4
7,C3 C5 C6 C7 C23 C72 C73 C95 C96 C97,22u,C_0603_1608Metric,Digikey,1276-6504-1-ND,Samsung,CL10A226MPCNUBE,10
8,C102 C103,2n2,C_0402_1005Metric,Digikey,1276-1532-1-ND,Samsung,CL05B222JB5NNNC,2
9,C20 C21,4u7,C_0402_1005Metric,Digikey,587-3408-1-ND,Taiyo Yuden,LMK105BBJ475MVLF,2
10,CONN1 CONN2,Conn_Dummy,,Digikey,H122323-ND,Hirose,FX10A-168P-SV(71),2
11,D3 D4 D5,D_TVS_Dual_AAC,TPD2EUSB30x,Digikey,296-25509-1-ND,TI,TPD2EUSB30DRTR,3
12,D1 D8,LED_Small,LED_0402_1005Metric,Digikey,475-3445-1-ND,OSRAM,LT VH9G-Q2OO-25-1,2
13,D2 D6,LED_Small,LED_0402_1005Metric,Digikey,475-3112-1-ND,OSRAM,LB QH9G-N1OO-35-1,2
14,D7,LED_Small,LED_0402_1005Metric,Digikey,475-3429-1-ND,OSRAM,LR VH9F-P2R1-1-Z,1
15,FB1 FB2,MH2029-100Y,L_0805_2012Metric,Digikey,MH2029-100YCT-ND,Bourns,MH2029-100Y,2
16,J2,AUX_PWR,BarrelJack_CUI_PJ-102AH_Horizontal,Digikey,CP-102AH-ND,CUI Devices,PJ-102AH,1
17,J10,Conn_01x02,ELNA_DSK-3R3H224U-HL,Digikey,604-1020-1-ND,Elna,DSK-3R3H224U-HL,1
18,J11,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,Digikey,732-5316-ND,Würth Elektronik,61300311121,1
19,J9,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,Digikey,WM4201-ND,Molex,0022232031,1
20,J5 J7 J8,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Digikey,455-1790-1-ND,JST,BM04B-SRSS-TB(LF)(SN),3
21,J6,Conn_02x06_Odd_Even,PinHeader_2x06_P2.54mm_Vertical,DNP,DNP,DNP,DNP,1
22,J4,JTAG,PinHeader_2x03_P2.54mm_Vertical,Digikey,1849-PR20203VBDN-ND,METZ Connect,PR20203VBDN,1
23,J3,Micro_SD_Card_Det_Hirose_DM3AT,microSD_HC_Hirose_DM3AT-SF-PEJM5,RS-Online,828-1884,Hirose,DM3AT-SF-PEJM5,1
24,J1,USB_C_Receptacle,Amphenol_12402056E512A,Digikey,732-9618-1-ND,Wurth,632723300011,1
25,LOGO1,Logo_Open_Hardware_Large,OSHW-Symbol_13.4x12mm_SilkScreen,DNP,DNP,DNP,DNP,1
26,Q1,Q_NMOS_GSD,SOT-23,Digikey,SSM3K2615RLFCT-ND,Toshiba Semiconductor and Storage,"SSM3K2615R,LF",1
27,R57 R58 R59 R70,100k,R_0402_1005Metric,Digikey,YAG3515CT-ND,Yageo,YAG3515CT-ND,4
28,R17 R23 R26 R28 R52 R61 R62 R63 R64 R67 R68 R69,10k,R_0402_1005Metric,Digikey,YAG3436CT-ND,Yageo,AC0402FR-0710KL,12
29,R21 R22,110R,R_0603_1608Metric,Digikey,P110JCT-ND,Panasonic,ERJ-2GEJ111X,2
30,R65,12k,R_0402_1005Metric,Digikey,YAG3441CT-ND,Yageo,AC0402FR-0712KL,1
31,R20 R42 R43 R44 R60,200k,R_0201_0603Metric,Digikey,YAG5170CT-ND,Yageo,AC0201FR-07200KL,5
32,R5 R29,20k,R_0402_1005Metric,Digikey,311-20.0KLRCT-ND,Yageo,RC0402FR-0720KL,2
33,R45 R46 R53 R54 R55,220R,R_0402_1005Metric,Digikey,541-10394-1-ND,Vishay Dale,RCS0402220RFKED,5
34,R18 R24,2k4,R_0402_1005Metric,Digikey,P2.4KDECT-ND,Panasonic,ERA-2AED242X,2
35,R30 R31 R32 R33 R34 R35,2k4,R_0402_1005Metric,Digikey,P2.4KDECT-ND,Panasonic,ERA-2AED242X,6
36,R36 R37 R38 R39 R40 R41,2k4,R_0402_1005Metric,Digikey,P2.4KDECT-ND,Panasonic,ERA-2AED242X,6
37,R47 R48 R49 R50 R51,2k4,R_0402_1005Metric,Digikey,P2.4KDECT-ND,Panasonic,ERA-2AED242X,5
38,R2,348k,R_0402_1005Metric,Digikey,2019-RK73H1ETTP3483FCT-ND,KOA Speer,RK73H1ETTP3483F,1
39,R3,357k,R_0402_1005Metric,Digikey,YAG3129CT-ND,YAGEO,RC0402FR-07357KL,1
40,R6 R7 R10 R19,4.7k,R_0402_1005Metric,Digikey,P17228CT-ND,Panasonic Electronic Components,ERJ-PA2F4701X,4
41,R13 R15,43k,R_0402_1005Metric,Digikey,311-2291-1-ND,Yageo,RT0402DRE0743KL,2
42,R1 R4 R9 R11 R25 R27,47k,R_0402_1005Metric,Digikey,311-47.0KLRCT-ND,Yageo,RC0402FR-0747KL,6
43,R14 R16,49.9k,R_0402_1005Metric,Digikey,311-2296-1-ND,Yageo,RT0402DRE0749K9L,2
44,R8,JMP,R_0603_1608Metric,Digikey,541-0.0SBCT-ND,Vishay Dale,CRCW06030000Z0EAHP,1
